id,a1_country_code,a2_authority_name,a3_appellate_decision,a4_decision_year,a5_decision_month,a6_num_defendants,a7_defendant_name,a8_defendant_class,a9_enterprise_size,a10_gov_level,a11_defendant_role,a12_sector,a13_sector_other,a14_processing_contexts,a15_data_subject_complaint,a16_media_attention,a17_official_audit,a18_art33_discussed,a19_art33_breached,a20_breach_notification_effect,a21_art5_lawfulness_fairness,a22_art5_purpose_limitation,a23_art5_data_minimization,a24_art5_accuracy,a25_art5_storage_limitation,a26_art5_integrity_confidentiality,a27_art5_accountability,a28_art9_discussed,a29_vulnerable_groups,a30_art6_consent,a31_art6_contract,a32_art6_legal_obligation,a33_art6_vital_interests,a34_art6_public_task,a35_art6_legitimate_interest,a36_legal_basis_summary,a37_right_access_violated,a38_right_rectification_violated,a39_right_erasure_violated,a40_right_restriction_violated,a41_right_portability_violated,a42_right_object_violated,a43_transparency_violated,a44_automated_decisions_violated,a45_warning_issued,a46_reprimand_issued,a47_comply_data_subject_order,a48_compliance_order,a49_breach_communication_order,a50_erasure_restriction_order,a51_certification_withdrawal,a52_data_flow_suspension,a53_fine_imposed,a54_fine_amount,a55_fine_currency,a56_turnover_discussed,a57_turnover_amount,a58_turnover_currency,a59_nature_gravity_duration,a60_intentional_negligent,a61_mitigate_damage_actions,a62_technical_org_measures,a63_previous_infringements,a64_cooperation_authority,a65_data_categories_affected,a66_infringement_became_known,a67_prior_orders_compliance,a68_codes_certification,a69_other_factors,a70_systematic_art83_discussion,a71_first_violation,a72_cross_border_oss,a73_oss_role,a74_guidelines_referenced,a75_case_summary,a76_art83_weighing_summary,a77_articles_breached
Spain_412,ES,Spanish Data Protection Agency,NO,2020,9,1,"VENU SANZ CHEF, S.L.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,DIGITAL_SERVICES,NOT_APPLICABLE,MARKETING;PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,BREACHED,BREACHED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NO,NO,YES,NO,NO,NO,NO,YES,1800,EUR,NO,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,AGGRAVATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_APPLICABLE,"VENU SANZ CHEF used complainant's personal data including name, photo, and health information (cholesterol tests and hypothyroidism) to advertise products without consent. The Spanish DPA found violations of Article 5(1)(b) purpose limitation principle. Defendant paid reduced fine of €1,800 by acknowledging responsibility and making voluntary payment. Case terminated under administrative procedure provisions.","The DPA discussed Article 83(2) factors: negligent character was aggravating, health data categories were aggravating. Other factors were not discussed in detail. The fine was reduced by 40% total for voluntary payment and acknowledgment of responsibility.",5
Spain_415,ES,Spanish Agency for Data Protection,NO,2020,3,1,CONSEGURIDAD S.L.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,private;security,CCTV,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NO,NO,YES,NO,NO,NO,NO,YES,50000,EUR,NO,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_APPLICABLE,"Private security company CONSEGURIDAD S.L. failed to appoint a Data Protection Officer as required by Article 37.1(b) GDPR and Article 34.1(ñ) LOPDGDD for private security companies processing personal data on a large scale. The company operated CCTV surveillance but lacked DPO designation and failed to respond to the AEPD's communications. The AEPD imposed a €50,000 fine for this violation, considering the large-scale data processing and basic personal identifiers affected as aggravating factors.",The DPA discussed Article 83(2) factors briefly. Article 83(2)(a) (nature/gravity/duration) was AGGRAVATING due to large-scale processing affecting many data subjects. Article 83(2)(g) (categories of data) was AGGRAVATING as basic personal identifiers were affected. Other factors were NOT_DISCUSSED.,37
Spain_416,ES,Spanish Agency for Data Protection,NO,2020,11,1,B.B.B.,INDIVIDUAL,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,HOUSING_TOURISM,NOT_APPLICABLE,CCTV,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,BREACHED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NO,NO,NO,NO,NO,NO,NO,YES,5000,EUR,NO,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,AGGRAVATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_APPLICABLE,Landlord installed surveillance camera in rented room capturing images and sound of tenant's private space; Camera was used to monitor tenant's activities and reproach her for damaging property; DPA found violation of data minimization principle (Article 5(1)(c)) as processing exceeded what was necessary; Fine imposed for intrusion into tenant's privacy and home inviolability.,"DPA considered seriousness of offense (invasion of privacy space), intentionality/negligence (failure to inform in lease contract and exceeding recording area), and nature of data obtained from private space as aggravating factors; Other Article 83(2) factors were not discussed.",5
Spain_417,ES,Spanish Data Protection Agency,NO,2019,0,1,VOX ESPAÑA,OTHER,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,political_party;newsletter_subscribers,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,NO,YES,YES,YES,NOT_DISCUSSED,MITIGATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,BREACHED,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,The controller did not claim a specific legal basis; the DPA focused on security obligations under Article 32 rather than legal basis validity.,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,AGGRAVATING,MITIGATING,AGGRAVATING,NOT_DISCUSSED,MITIGATING,AGGRAVATING,MITIGATING,NOT_DISCUSSED,NOT_DISCUSSED,MITIGATING,YES,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,WP29 Opinion 4/2007 On the concept of personal data,"VOX España suffered a security breach where hackers accessed subscriber data for their newsletter. The DPA found inadequate security measures with 22 vulnerabilities including serious SQL injection flaws. While VOX promptly notified the breach and took remedial actions, the DPA issued a warning for violating Article 32 security obligations due to the risk of political ideology attribution from subscriber data exposure.","The DPA discussed Article 83(2) factors systematically. Aggravating factors included nature/gravity/duration, intentional/negligent character, technical measures inadequacy, and data categories affected. Mitigating factors included actions to mitigate damage, cooperation with authority, and manner infringement became known. The combination led to a warning instead of a fine.",32
Spain_418,ES,Spanish Data Protection Agency,NO,2020,11,1,Town Hall of Arroyomolinos,PUBLIC,NOT_APPLICABLE,MUNICIPAL,CONTROLLER,OTHER_PUBLIC_ADMIN,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,YES,NO,NO,NO,NO,NO,NO,NO,NOT_APPLICABLE,NOT_APPLICABLE,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,MITIGATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_APPLICABLE,The Spanish DPA sanctioned Arroyomolinos Town Hall for failing to appoint a Data Protection Officer as required by Article 37 GDPR. The municipality lacked a DPO since GDPR came into force in May 2018. The DPA issued a warning sanction despite the Town Hall having appointed a DPO during the proceedings.,NOT_DISCUSSED,37
Spain_419,ES,Spanish Agency for Data Protection,NO,2021,10,1,"AUDAX RENOVABLES, S.A.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,UTILITIES,NOT_APPLICABLE,MARKETING,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,YES,12000,EUR,NO,NOT_DISCUSSED,NOT_DISCUSSED,MITIGATING,NOT_DISCUSSED,MITIGATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,MITIGATING,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_APPLICABLE,"Spanish DPA sanctioned Audax Renovables for making unsolicited marketing calls to a claimant registered on the Robinson List. The company argued it wasn't subject to telecommunications law but DPA found LGT applicable. Fine reduced to €12,000 considering low social impact and defendant's financial situation.","DPA considered low social impact of offense and defendant's financial situation as mitigating factors under Article 80 LGT, reducing the fine amount from maximum possible sanction.",NOT_DISCUSSED
Spain_422,ES,Spanish Agency for Data Protection,NO,2022,0,1,"Mederos Moviten, S.L.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,BREACHED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,"The controller claimed processing was necessary for contract performance, but DPA found no legitimate basis as contracts were unsigned and services were not actually contracted by the data subject.",NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NO,NO,NO,NO,NO,NO,NO,YES,15000,EUR,NO,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,AGGRAVATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,Guidelines 07/2020 on the concepts of responsible for the treatment and processor in the RGPD,"Telecom distributor processed customer data without legitimacy by creating four unsigned contracts for Vodafone services that the data subject never consented to or signed. The DPA found the defendant acted as controller rather than processor by determining purposes and means of processing. A fine of €15,000 was imposed for violation of Article 6.1 GDPR due to lack of lawful basis for processing.",The DPA considered the nature and gravity of the infringement as aggravating factors under Article 83(2)(a) and the negligent character under Article 83(2)(b). Other factors were not discussed in the decision.,6
Spain_423,ES,Spanish Agency for Data Protection,NO,2020,11,1,"XFERA MÓVILES, S.A.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,BREACHED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,The controller processed personal data without any legitimacy; no consent was obtained and no other legal basis existed; the DPA found violation of Article 6.1 GDPR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NO,NO,NO,NO,NO,NO,NO,YES,40000,EUR,NO,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,AGGRAVATING,MITIGATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,AGGRAVATING,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_APPLICABLE,"XFERA MÓVILES processed personal data without legal basis when fraudsters used claimants' identity to contract telecom services; the DPA found violation of Article 6.1 GDPR as no consent or other legal basis existed; the company acknowledged the error and classified contracts as fraudulent; a €40,000 fine was imposed considering aggravating and mitigating factors.","The DPA considered measures taken to mitigate damages as mitigating; intentionality/negligence, basic personal identifiers affected, and link to business activity as aggravating; other factors were not discussed.",6
Spain_424,ES,Spanish Data Protection Agency,NO,2019,11,1,CERRAJERO ONLINE S.L.,PRIVATE,SME,NOT_APPLICABLE,CONTROLLER,OTHER,locksmith;home;services,NOT_DISCUSSED,NO,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,BREACHED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,"The controller failed to provide proper information under Article 13 GDPR, referencing repealed legislation in its privacy policy instead of complying with current transparency requirements.",NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,YES,NOT_DISCUSSED,NO,NO,NO,YES,NO,NO,NO,NO,YES,900,EUR,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,MITIGATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,MITIGATING,NO,YES_FIRST_TIME,NO,NOT_APPLICABLE,NOT_APPLICABLE,"CERRAJERO ONLINE S.L. collected personal data through website forms without providing proper information under Article 13 GDPR, referencing repealed legislation. The Spanish DPA initiated proceedings and the company paid a reduced fine of €900, acknowledging responsibility. The case involved failure to comply with transparency obligations in data collection.",NOT_DISCUSSED,13
Spain_427,ES,Spanish Data Protection Agency,NO,2019,11,1,TODOTECNICOS24H S.L.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,website;technical_services,NOT_DISCUSSED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,YES,NOT_DISCUSSED,NO,NO,NO,YES,NO,NO,NO,NO,YES,900,EUR,NO,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,MITIGATING,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,NOT_DISCUSSED,MITIGATING,NO,YES_FIRST_TIME,NO,NOT_APPLICABLE,NOT_APPLICABLE,"Spanish DPA initiated proceedings against TODOTECNICOS24H S.L. for failing to provide complete privacy information required by Article 13 GDPR on their website form. The company acknowledged responsibility and paid a reduced fine of €900, terminating the procedure. The DPA found violation of transparency obligations under Articles 12-14.",The DPA considered absence of previous infringements (Art 83(2)(e)) as mitigating and no direct benefits obtained (Art 83(2)(k)) as mitigating. Other factors were not discussed in the weighing process.,13
