----- RESPONSE DELIMITER -----
ID: Spain_411
----- RESPONSE DELIMITER -----
Answer 1: ES
Answer 2: Spanish Agency for Data Protection
Answer 3: NO
Answer 4: 2020
Answer 5: 0
Answer 6: 1
Answer 7: ORGANIC AND NATUR 03, S.L.
Answer 8: PRIVATE
Answer 9: SME
Answer 10: NOT_APPLICABLE
Answer 11: CONTROLLER
Answer 12: RETAIL
Answer 13: NOT_APPLICABLE
Answer 14: MARKETING;PROBLEMATIC_THIRD_PARTY_SHARING_STATED
Answer 15: NO
Answer 16: NOT_DISCUSSED
Answer 17: NO
Answer 18: NO
Answer 19: NOT_APPLICABLE
Answer 20: NOT_DISCUSSED
Answer 21: NOT_DISCUSSED
Answer 22: NOT_DISCUSSED
Answer 23: NOT_DISCUSSED
Answer 24: NOT_DISCUSSED
Answer 25: NOT_DISCUSSED
Answer 26: NOT_DISCUSSED
Answer 27: NOT_DISCUSSED
Answer 28: NO
Answer 29: NOT_DISCUSSED
Answer 30: INVALID
Answer 31: VALID
Answer 32: NOT_DISCUSSED
Answer 33: NOT_DISCUSSED
Answer 34: NOT_DISCUSSED
Answer 35: NOT_DISCUSSED
Answer 36: Controller claimed contract basis for all processing;DPA found consent invalid for marketing purposes unrelated to contract execution;Consent was generic and not specific for each purpose
Answer 37: NOT_DISCUSSED
Answer 38: NOT_DISCUSSED
Answer 39: NOT_DISCUSSED
Answer 40: NOT_DISCUSSED
Answer 41: NOT_DISCUSSED
Answer 42: NOT_DISCUSSED
Answer 43: BREACHED
Answer 44: NOT_DISCUSSED
Answer 45: NO
Answer 46: NO
Answer 47: NO
Answer 48: YES
Answer 49: NO
Answer 50: NO
Answer 51: NO
Answer 52: NO
Answer 53: YES
Answer 54: 4000
Answer 55: EUR
Answer 56: NO
Answer 57: NOT_DISCUSSED
Answer 58: NOT_DISCUSSED
Answer 59: NEUTRAL
Answer 60: MITIGATING
Answer 61: NOT_DISCUSSED
Answer 62: NOT_DISCUSSED
Answer 63: NOT_DISCUSSED
Answer 64: NOT_DISCUSSED
Answer 65: NOT_DISCUSSED
Answer 66: NEUTRAL
Answer 67: NOT_DISCUSSED
Answer 68: NOT_DISCUSSED
Answer 69: NOT_DISCUSSED
Answer 70: NO
Answer 71: NOT_DISCUSSED
Answer 72: NO
Answer 73: NOT_APPLICABLE
Answer 74: NOT_APPLICABLE
Answer 75: Spanish DPA sanctioned ORGANIC AND NATUR 03,S.L. for GDPR violations in consumer contracts;Violated Article 13 by referencing repealed data protection law in privacy policy;Violated Article 7 by obtaining invalid generic consent for marketing purposes unrelated to contract;Imposed €4000 fine for Article 13 violation and warning for Article 7 violation
Answer 76: DPA discussed Article 83(2) factors;Negligence was mitigating factor;Manner infringement became known was neutral;Other factors not discussed
Answer 77: 7;13
----- RESPONSE DELIMITER -----
----- RESPONSE DELIMITER -----
ID: Spain_412
----- RESPONSE DELIMITER -----
Answer 1: ES
