:START_ID,:END_ID,:TYPE
Decision|Spain_411,Context|MARKETING,INVOLVES
Decision|Spain_411,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_412,Context|MARKETING,INVOLVES
Decision|Spain_412,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_415,Context|CCTV,INVOLVES
Decision|Spain_416,Context|CCTV,INVOLVES
Decision|Spain_417,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_419,Context|MARKETING,INVOLVES
Decision|Spain_421,Context|CCTV,INVOLVES
Decision|Spain_421,Context|EMPLOYEE_MONITORING,INVOLVES
Decision|Spain_422,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_423,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_428,Context|COOKIES,INVOLVES
Decision|Spain_430,Context|RECRUITMENT_AND_HR,INVOLVES
Decision|Spain_431,Context|CCTV,INVOLVES
Decision|Spain_432,Context|CCTV,INVOLVES
Decision|Spain_433,Context|MARKETING,INVOLVES
Decision|Spain_435,Context|MARKETING,INVOLVES
Decision|Spain_437,Context|COOKIES,INVOLVES
Decision|Spain_437,Context|CUSTOMER_LOYALTY_CLUBS,INVOLVES
Decision|Spain_440,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_441,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_445,Context|MARKETING,INVOLVES
Decision|Spain_446,Context|COOKIES,INVOLVES
Decision|Spain_449,Context|COOKIES,INVOLVES
Decision|Spain_452,Context|CCTV,INVOLVES
Decision|Spain_454,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_455,Context|JOURNALISM,INVOLVES
Decision|Spain_456,Context|DPO_ROLE_PROBLEMS_STATED,INVOLVES
Decision|Spain_458,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_459,Context|MARKETING,INVOLVES
Decision|Spain_459,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
Decision|Spain_461,Context|PROBLEMATIC_THIRD_PARTY_SHARING_STATED,INVOLVES
