:START_ID,:END_ID,:TYPE
Decision|Spain_417,Guideline|WP29_OPINION_4_2007_ON_THE_CONCEPT_OF_PERSONAL_DATA,REFERS_TO
Decision|Spain_422,Guideline|GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_RESPONSIBLE_FOR_THE_TREATMENT_AND_PROCESSOR_IN_THE_RGPD,REFERS_TO
Decision|Spain_441,Guideline|GUIDELINES_07_2020_OF_THE_EUROPEAN_COMMITTEE_FOR_DATA_PROTECTION_CEPD_ON_THE_CONCEPTS_OF_DATA_CONTROLLER_AND_MANAGER_IN_THE_RGPD,REFERS_TO
Decision|Spain_455,Guideline|OPINION_06_2014_ON_THE_CONCEPT_OF_LEGITIMATE_INTEREST_OF_THE_DATA_CONTROLLER_UNDER_ARTICLE_7_OF_DIRECTIVE_95_46_EC,REFERS_TO
Decision|Spain_553,Guideline|GUIDE_ON_COOKIES,REFERS_TO
Decision|Spain_574,Guideline|OPINION_4_2012,REFERS_TO
Decision|Spain_581,Guideline|OPINION_4_2012,REFERS_TO
Decision|Spain_610,Guideline|GUIDELINES_ON_THE_IMPLEMENTATION_OF_THE_COURT_OF_JUSTICE_OF_THE_EUROPEAN_UNION_JUDGMENT_ON_GOOGLE_SPAIN_AND_INC_V_AEPD_AND_MARIO_COSTEJA_C_131_12,REFERS_TO
Decision|Slovenia_1,Guideline|EDPB_GUIDELINES_03_2020_ON_THE_PROCESSING_OF_DATA_CONCERNING_HEALTH_FOR_THE_PURPOSE_OF_SCIENTIFIC_RESEARCH_IN_THE_CONTEXT_OF_THE_COVID_19_OUTBREAK,REFERS_TO
Decision|Slovenia_16,Guideline|EDPB_GUIDELINES_05_2020_ON_CONSENT_UNDER_REGULATION_2016_679,REFERS_TO
Decision|Slovenia_36,Guideline|EDPB_OPINION_5_2019_ON_THE_INTERPLAY_BETWEEN_THE_EPRIVACY_DIRECTIVE_AND_THE_GDPR,REFERS_TO
Decision|Slovenia_44,Guideline|GUIDELINES_ON_DATA_PROTECTION_OFFICERS,REFERS_TO
Decision|Slovenia_48,Guideline|EDPB_OPINION_3_2019_ON_THE_INTERPLAY_BETWEEN_THE_CLINICAL_TRIALS_REGULATION_AND_THE_GDPR,REFERS_TO
Decision|Slovenia_53,Guideline|EDPB_GUIDELINES_1_2024_ON_PROCESSING_PERSONAL_DATA_BASED_ON_LEGITIMATE_INTEREST,REFERS_TO
Decision|Slovenia_64,Guideline|GUIDELINES_3_2019_ON_PROCESSING_OF_PERSONAL_DATA_THROUGH_VIDEO_DEVICES,REFERS_TO
Decision|Slovenia_75,Guideline|EDPB_GUIDELINES_ON_CONSENT_AS_A_LEGAL_BASIS_FOR_THE_PROCESSING_OF_PERSONAL_DATA_IN_EMPLOYMENT_RELATIONSHIPS,REFERS_TO
Decision|Slovakia_1,Guideline|EDPB_GUIDELINES_2_2020_ON_ARTICLES_46_2_A_AND_46_3_B_GDPR,REFERS_TO
Decision|Slovakia_1,Guideline|EDPB_STATEMENT_04_2021,REFERS_TO
Decision|Romania_8,Guideline|GUIDELINES_2_2019_ON_ARTICLE_6_1_F,REFERS_TO
Decision|Romania_8,Guideline|GUIDELINES_05_2020_ON_CONSENT,REFERS_TO
Decision|Italy_310,Guideline|GUIDELINES_ON_COOKIES_AND_OTHER_TRACKING_TOOLS_OF_10_JUNE_2021,REFERS_TO
Decision|Italy_311,Guideline|EDPB_GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_DATA_CONTROLLER_AND_DATA_PROCESSOR_UNDER_THE_GDPR,REFERS_TO
Decision|Italy_311,Guideline|GUIDELINES_1_2024_ON_PROCESSING_OF_PERSONAL_DATA_BASED_ON_ARTICLE_6_1_F,REFERS_TO
Decision|Italy_313,Guideline|GUIDELINES_5_2020_ON_CONSENT_UNDER_REGULATION_EU_2016_679,REFERS_TO
Decision|Italy_313,Guideline|OPINION_03_2013_ON_PURPOSE_LIMITATION,REFERS_TO
Decision|Italy_313,Guideline|GUIDELINES_ON_TRANSPARENCY_PURSUANT_TO_REGULATION_2016_679,REFERS_TO
Decision|Italy_313,Guideline|OPINION_28_2024_ON_CERTAIN_DATA_PROTECTION_ASPECTS_RELATED_TO_THE_PROCESSING_OF_PERSONAL_DATA_IN_THE_CONTEXT_OF_AI_MODELS,REFERS_TO
Decision|Italy_314,Guideline|GUIDELINES_1_2022_ON_DATA_SUBJECT_RIGHTS_RIGHT_OF_ACCESS,REFERS_TO
Decision|Italy_314,Guideline|OPINION_05_2014_ON_ANONYMIZATION_TECHNIQUES,REFERS_TO
Decision|Italy_315,Guideline|GUIDELINES_9_2022_ON_THE_NOTIFICATION_OF_PERSONAL_DATA_BREACH_UNDER_THE_GDPR,REFERS_TO
Decision|Italy_316,Guideline|GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_DATA_CONTROLLER_AND_DATA_PROCESSOR_UNDER_THE_GDPR,REFERS_TO
Decision|Italy_316,Guideline|GUIDELINES_ON_THE_NOTIFICATION_OF_PERSONAL_DATA_BREACHES_UNDER_REGULATION_EU_2016_679,REFERS_TO
Decision|Italy_316,Guideline|GUIDELINES_9_2022_ON_PERSONAL_DATA_BREACH_NOTIFICATION_UNDER_GDPR,REFERS_TO
Decision|Italy_316,Guideline|GUIDELINES_4_2019_ON_ARTICLE_25_DATA_PROTECTION_BY_DESIGN_AND_BY_DEFAULT,REFERS_TO
Decision|Ireland_19,Guideline|EDPB_GUIDELINES_01_2022_ON_DATA_SUBJECT_RIGHTS_RIGHT_OF_ACCESS,REFERS_TO
Decision|Ireland_19,Guideline|ARTICLE_29_DATA_PROTECTION_WORKING_PARTY_GUIDELINES_ON_THE_APPLICATION_AND_SETTING_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679,REFERS_TO
Decision|Iceland_7,Guideline|GUIDELINES_3_2019_ON_PROCESSING_OF_PERSONAL_DATA_THROUGH_VIDEO_DEVICES,REFERS_TO
Decision|Iceland_9,Guideline|GUIDELINES_NO_5_2020_ON_APPROVAL,REFERS_TO
Decision|Iceland_18,Guideline|GUIDELINES_NO_05_2020,REFERS_TO
Decision|Iceland_42,Guideline|GUIDELINES_OF_THE_EUROPEAN_PRIVACY_COUNCIL_NO_7_2020_ON_THE_CONCEPTS_RESPONSIBLE_PARTY_AND_PROCESSOR,REFERS_TO
Decision|Iceland_50,Guideline|EDPB_GUIDELINES_03_2020_ON_THE_PROCESSING_OF_PERSONAL_DATA_FOR_THE_PURPOSE_OF_SCIENTIFIC_RESEARCH_IN_THE_CONTEXT_OF_THE_COVID_19_OUTBREAK,REFERS_TO
Decision|Iceland_53,Guideline|GUIDELINES_ON_DATA_PROTECTION_OFFICERS,REFERS_TO
Decision|Iceland_78,Guideline|GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_CONTROLLER_AND_PROCESSOR_IN_THE_GDPR,REFERS_TO
Decision|Hungary_1,Guideline|GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_CONTROLLER_AND_PROCESSOR_IN_THE_GDPR,REFERS_TO
Decision|Hungary_6,Guideline|GUIDELINES_4_2019_ON_ARTICLE_25_DATA_PROTECTION_BY_DESIGN_AND_BY_DEFAULT,REFERS_TO
Decision|Hungary_8,Guideline|GUIDELINES_05_2020_ON_CONSENT_UNDER_REGULATION_2016_679,REFERS_TO
Decision|Hungary_8,Guideline|WP259_ON_CONSENT,REFERS_TO
Decision|Hungary_22,Guideline|EDPB_GUIDELINES_5_2020_ON_CONSENT,REFERS_TO
Decision|Hungary_22,Guideline|WP29_GUIDELINES_WP259_ON_CONSENT,REFERS_TO
