id:ID,:LABEL,name
Guideline|WP29_OPINION_4_2007_ON_THE_CONCEPT_OF_PERSONAL_DATA,Guideline,WP29 Opinion 4/2007 On the concept of personal data
Guideline|GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_RESPONSIBLE_FOR_THE_TREATMENT_AND_PROCESSOR_IN_THE_RGPD,Guideline,Guidelines 07/2020 on the concepts of responsible for the treatment and processor in the RGPD
Guideline|GUIDELINES_07_2020_OF_THE_EUROPEAN_COMMITTEE_FOR_DATA_PROTECTION_CEPD_ON_THE_CONCEPTS_OF_DATA_CONTROLLER_AND_MANAGER_IN_THE_RGPD,Guideline,Guidelines 07/2020 of the European Committee for Data Protection (CEPD) on the concepts of data controller and manager in the RGPD
Guideline|OPINION_06_2014_ON_THE_CONCEPT_OF_LEGITIMATE_INTEREST_OF_THE_DATA_CONTROLLER_UNDER_ARTICLE_7_OF_DIRECTIVE_95_46_EC,Guideline,Opinion 06/2014 on the concept of legitimate interest of the data controller under Article 7 of Directive 95/46/EC
Guideline|GUIDE_ON_COOKIES,Guideline,Guide on Cookies
Guideline|OPINION_4_2012,Guideline,Opinion 4/2012
Guideline|GUIDELINES_ON_THE_IMPLEMENTATION_OF_THE_COURT_OF_JUSTICE_OF_THE_EUROPEAN_UNION_JUDGMENT_ON_GOOGLE_SPAIN_AND_INC_V_AEPD_AND_MARIO_COSTEJA_C_131_12,Guideline,Guidelines on the implementation of the Court of Justice of the European Union Judgment on Google Spain and Inc v. AEPD and Mario Costeja C-131/12
Guideline|EDPB_GUIDELINES_03_2020_ON_THE_PROCESSING_OF_DATA_CONCERNING_HEALTH_FOR_THE_PURPOSE_OF_SCIENTIFIC_RESEARCH_IN_THE_CONTEXT_OF_THE_COVID_19_OUTBREAK,Guideline,EDPB Guidelines 03/2020 on the processing of data concerning health for the purpose of scientific research in the context of the COVID-19 outbreak
Guideline|EDPB_GUIDELINES_05_2020_ON_CONSENT_UNDER_REGULATION_2016_679,Guideline,EDPB Guidelines 05/2020 on consent under Regulation 2016/679
Guideline|EDPB_OPINION_5_2019_ON_THE_INTERPLAY_BETWEEN_THE_EPRIVACY_DIRECTIVE_AND_THE_GDPR,Guideline,EDPB Opinion 5/2019 on the interplay between the ePrivacy Directive and the GDPR
