id:ID,:LABEL,name,article_number
Article|GDPR_7,Article,GDPR_7,7
Article|GDPR_13,Article,GDPR_13,13
Article|GDPR_5,Article,GDPR_5,5
Article|GDPR_32,Article,GDPR_32,32
Article|GDPR_37,Article,GDPR_37,37
Article|GDPR_12,Article,GDPR_12,12
Article|GDPR_6,Article,GDPR_6,6
Article|GDPR_25,Article,GDPR_25,25
Article|GDPR_33,Article,GDPR_33,33
Article|GDPR_21,Article,GDPR_21,21
Article|GDPR_28,Article,GDPR_28,28
Article|GDPR_17,Article,GDPR_17,17
Article|GDPR_58,Article,GDPR_58,58
Article|GDPR_22,Article,GDPR_22,22
Article|GDPR_34,Article,GDPR_34,34
Article|GDPR_30,Article,GDPR_30,30
Article|GDPR_15,Article,GDPR_15,15
Article|GDPR_9,Article,GDPR_9,9
Article|GDPR_35,Article,GDPR_35,35
Article|GDPR_8,Article,GDPR_8,8
Article|GDPR_4,Article,GDPR_4,4
Article|GDPR_24,Article,GDPR_24,24
Article|GDPR_31,Article,GDPR_31,31
Article|GDPR_130,Article,GDPR_130,130
Article|GDPR_10,Article,GDPR_10,10
Article|GDPR_46,Article,GDPR_46,46
Article|GDPR_29,Article,GDPR_29,29
Article|GDPR_38,Article,GDPR_38,38
Article|GDPR_16,Article,GDPR_16,16
Article|GDPR_14,Article,GDPR_14,14
Article|GDPR_18,Article,GDPR_18,18
Article|GDPR_44,Article,GDPR_44,44
Article|GDPR_27,Article,GDPR_27,27
Article|GDPR_26,Article,GDPR_26,26
Article|GDPR_89,Article,GDPR_89,89
Article|GDPR_90,Article,GDPR_90,90
Article|GDPR_104,Article,GDPR_104,104
Article|GDPR_82,Article,GDPR_82,82
Article|GDPR_66,Article,GDPR_66,66
Article|GDPR_83,Article,GDPR_83,83
Article|GDPR_23,Article,GDPR_23,23
Article|GDPR_2,Article,GDPR_2,2
Article|GDPR_154,Article,GDPR_154,154
Article|GDPR_123,Article,GDPR_123,123
Article|GDPR_132,Article,GDPR_132,132
Article|GDPR_88,Article,GDPR_88,88
Article|GDPR_48,Article,GDPR_48,48
Article|GDPR_157,Article,GDPR_157,157
Article|GDPR_85,Article,GDPR_85,85
Article|GDPR_114,Article,GDPR_114,114
Article|GDPR_137,Article,GDPR_137,137
Article|GDPR_139,Article,GDPR_139,139
Article|GDPR_19,Article,GDPR_19,19
Article|GDPR_20,Article,GDPR_20,20
Article|GDPR_36,Article,GDPR_36,36
Article|GDPR_47,Article,GDPR_47,47
Article|GDPR_39,Article,GDPR_39,39
